Player,Team,Player_Strength,Total_Rounds_Played
samed,TeamOrangeGaming,79.92,1743.0
s0m,NRG Esports,79.91,8265.0
DNYGETSU666,PETZ,79.9,80.0
cauanzin,LOUD,79.89,4900.0
Dev0,GoodFor3,79.88,5026.0
Obnoks,MOUZ,79.87,10077.0
Minty,RIDDLE ORDER,79.86,4803.0
Kipperman,Genziary,79.86,3749.0
Cunha20,Falke Esports,79.86,2342.0
coldfish,TYLOO,79.84,6094.0
Yuki,Dexterity Gaming,79.82,3798.0
alca,Rebirth Esports,79.81,4104.0
jawgemo,G2 Esports,79.81,9582.0
Grmekista,Zero Tenacity,79.81,6564.0
Zhannn,ROA Esport,79.78,1025.0
bazz,CREST GAMING Zst,79.77,4661.0
xenom,MIBR,79.77,4261.0
juseu,Metizport,79.77,7707.0
Bak1,OCU,79.77,400.0
d3ffo,SweetNsour,79.75,8333.0
Chillin,Team Digital,79.72,4088.0
lyrical,Awaken Militia,79.7,3110.0
sayuri,MIBR GC,79.66,7649.0
Sota,DFM Academy,79.64,413.0
YanLi,把牛變成鱒魚,79.62,2032.0
hiro,Natus Vincere,79.62,3378.0
Governor,TALON,79.61,17811.0
Instxnct,Team Digital,79.6,7727.0
Virtyy,E-Xolos LAZER,79.58,12810.0
Dio,STU樹德暴風樹,79.57,66.0
wodz,club penguin,79.55,1674.0
kooniiee,5 Budak Gemuk,79.53,456.0
Toy,Soi Thai Esports,79.51,1922.0
hidy,5 Budak Gemuk,79.51,188.0
sultan,NAOS,79.5,844.0
TORONTO,SAGAZ,79.48,1215.0
